Postal_District,Postal_Desc
1,"1 - Raffles Place, Cecil, Marina, People's Park"
2,"2 - Anson, Tanjong Pagar"
3,"3 - Queenstown, Tiong Bahru"
4,"4 - Telok Blangah, Harbourfront"
5,"5 - Pasir Panjang, Hong Leong Garden, Clementi New Town"
6,"6 - High Street, Beach Road (part)"
7,"7 - Middle Road, Golden Mile"
8,8 - Little India
9,"9 - Orchard, Cairnhill, River Valley"
10,"10 - Ardmore, Bukit Timah, Holland Road, Tanglin"
11,"11 - Watten Estate, Novena, Thomson"
12,"12 - Balestier, Toa Payoh, Serangoon"
13,"13 - Macpherson, Braddell"
14,"14 - Geylang, Eunos"
15,"15 - Katong, Joo Chiat, Amber Road"
16,"16 - Bedok, Upper East Coast, Eastwood, Kew Drive"
17,"17 - Loyang, Changi"
18,"18 - Tampines, Pasir Ris"
19,"19 - Serangoon Garden, Hougang, Punggol"
20,"20 - Bishan, Ang Mo Kio"
21,"21 - Upper Bukit Timah, Clementi Park, Ulu Pandan"
22,22 - Jurong
23,"23 - Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
24,"24 - Lim Chu Kang, Tengah"
25,"25 - Kranji, Woodgrove"
26,"26 - Upper Thomson, Springleaf"
27,"27 - Yishun, Sembawang"
28,28 - Seletar
