Project_Name,num_sales
AFFINITY AT SERANGOON,739
AMBER PARK,529
AVENUE SOUTH RESIDENCE,957
BOULEVARD 88,127
CANNINGHILL PIERS,595
CLAVON,617
COASTLINE RESIDENCES,140
DAINTREE RESIDENCE,284
DAIRY FARM RESIDENCES,439
FORETT AT BUKIT TIMAH,539
FOURTH AVENUE RESIDENCES,418
HYLL ON HOLLAND,113
IRWELL HILL RESIDENCES,419
JADESCAPE,846
JERVOIS MANSION,103
KENT RIDGE HILL RESIDENCES,413
KI RESIDENCES AT BROOKVALE,539
KOPAR AT NEWTON,257
LE QUEST,146
LEEDON GREEN,338
MARGARET VILLE,178
MARTIN MODERN,146
MAYFAIR GARDENS,103
MAYFAIR MODERN,142
MEYER MANSION,102
MIDTOWN MODERN,407
MIDWOOD,524
NORMANTON PARK,1665
OLA,541
ONE-NORTH EDEN,164
ONE HOLLAND VILLAGE RESIDENCES,161
ONE PEARL BANK,556
PARC BOTANNIA,282
PARC CANBERRA,496
PARC CENTRAL RESIDENCES,700
PARC CLEMATIS,1397
PARC ESTA,1017
PARC GREENWICH,466
PARC KOMO,245
PARK COLONIAL,248
PASIR RIS 8,431
PENROSE,543
PIERMONT GRAND,820
PROVENCE RESIDENCE,392
PULLMAN RESIDENCES NEWTON,117
REZI 24,110
RIVERFRONT RESIDENCES,655
RIVIERE,208
ROYALGREEN,190
RV ALTITUDE,140
SEASIDE RESIDENCES,116
SENGKANG GRAND RESIDENCES,655
SKY EVERTON,252
STIRLING RESIDENCES,757
THE ANTARES,264
THE AVENIR,213
THE COMMODORE,159
THE FLORENCE RESIDENCES,1287
THE GARDEN RESIDENCES,539
THE JOVELL,374
THE LANDMARK,144
THE LINQ @ BEAUTY WORLD,120
THE M,473
THE REEF AT KING'S DOCK,383
THE TAPESTRY,304
THE TRE VER,488
THE WATERGARDENS AT CANBERRA,339
THE WOODLEIGH RESIDENCES,578
TREASURE AT TAMPINES,2203
UPTOWN @ FARRER,111
URBAN TREASURES,142
VERDALE,227
VIEW AT KISMIS,186
WHISTLER GRAND,498
